Pos,Team, ,Pld,Won,Drn,Lst,For,Ag,Won,Drn,Lst,For,Ag,Pts, ,tactic_name, scored-conceded, points, games, wins_draws_losses
3rd,PAS,Giannina,26,9,3,1,29,10,4,2,7,19,21,44,,4-1-2-2-1 High pressing (compact), 48-31,44,26,13_5_8
1st,PAS,Giannina,26,9,4,0,26,8,7,4,2,20,14,56,,4-1-2-2-1 High pressing (compact), 46-22,56,26,16_8_2
2nd,PAS,Giannina,26,8,4,1,30,11,4,4,5,17,17,44,,4-1-2-2-1 High pressing (compact), 47-28,44,26,12_8_6
3rd,PAS,Giannina,26,6,6,1,22,10,7,3,3,20,12,48,,4-1-2-2-1 High pressing (compact), 42-22,48,26,13_9_4
1st,PAS,Giannina,26,10,2,1,31,14,7,3,3,18,13,56,,4-1-2-2-1 High pressing (compact), 49-27,56,26,17_5_4
1st,PAS,Giannina,26,11,0,2,37,11,5,3,5,20,20,51,,4-1-2-2-1 High pressing (compact), 57-31,51,26,16_3_7
1st,PAS,Giannina,26,11,1,1,27,11,8,4,1,27,10,62,,4-1-2-2-1 High pressing (compact), 54-21,62,26,19_5_2
1st,PAS,Giannina,26,10,1,2,25,8,11,1,1,28,13,65,,4-1-2-2-1 High pressing (compact), 53-21,65,26,21_2_3
2nd,PAS,Giannina,26,9,4,0,29,12,8,2,3,20,11,57,,4-1-2-2-1 High pressing (compact), 49-23,57,26,17_6_3
1st,PAS,Giannina,26,11,1,1,32,7,6,6,1,22,12,58,,4-1-2-2-1 High pressing (compact), 54-19,58,26,17_7_2
2nd,PAS,Giannina,26,9,3,1,32,15,8,1,4,26,12,55,,4-1-2-2-1 High pressing (compact), 58-27,55,26,17_4_5
1st,PAS,Giannina,26,11,2,0,35,13,7,1,5,22,18,57,,4-1-2-2-1 High pressing (compact), 57-31,57,26,18_3_5
1st,PAS,Giannina,26,9,3,1,30,13,8,3,2,25,14,57,,4-1-2-2-1 High pressing (compact), 55-27,57,26,17_6_3
1st,PAS,Giannina,26,9,2,2,28,13,8,3,2,23,12,56,,4-1-2-2-1 High pressing (compact), 51-25,56,26,17_5_4
1st,PAS,Giannina,26,10,1,2,29,14,9,2,2,24,11,60,,4-1-2-2-1 High pressing (compact), 53-25,60,26,19_3_4
2nd,PAS,Giannina,26,8,2,3,28,11,7,1,5,16,14,48,,4-1-2-2-1 High pressing (compact), 44-25,48,26,15_3_8
1st,PAS,Giannina,26,12,1,0,38,10,6,4,3,19,15,59,,4-1-2-2-1 High pressing (compact), 57-25,59,26,18_5_3
1st,PAS,Giannina,26,11,2,0,27,8,6,1,6,20,19,54,,4-1-2-2-1 High pressing (compact), 47-27,54,26,17_3_6
2nd,PAS,Giannina,26,9,3,1,28,11,5,7,1,17,12,52,,4-1-2-2-1 High pressing (compact), 45-23,52,26,14_10_2
1st,PAS,Giannina,26,11,0,2,36,12,10,0,3,29,13,63,,4-1-2-2-1 High pressing (compact), 65-25,63,26,21_0_5
2nd,PAS,Giannina,26,9,3,1,31,14,8,2,3,24,13,56,,4-1-2-2-1 High pressing (compact), 55-27,56,26,17_5_4
2nd,PAS,Giannina,26,9,3,1,27,13,4,5,4,14,13,47,,4-1-2-2-1 High pressing (compact), 41-26,47,26,13_8_5
1st,PAS,Giannina,26,10,2,1,30,14,6,6,1,28,20,56,,4-1-2-2-1 High pressing (compact), 58-34,56,26,16_8_2
1st,PAS,Giannina,26,12,0,1,37,8,6,2,5,23,19,56,,4-1-2-2-1 High pressing (compact), 60-27,56,26,18_2_6
2nd,PAS,Giannina,26,10,2,1,27,9,6,2,5,21,17,52,,4-1-2-2-1 High pressing (compact), 48-26,52,26,16_4_6
2nd,PAS,Giannina,26,9,3,1,26,12,6,3,4,24,18,51,,4-1-2-2-1 High pressing (compact), 50-30,51,26,15_6_5
1st,PAS,Giannina,26,11,2,0,28,8,11,2,0,28,12,70,,4-1-2-2-1 High pressing (compact), 56-20,70,26,22_4_0
1st,PAS,Giannina,26,12,0,1,33,10,3,8,2,16,16,53,,4-1-2-2-1 High pressing (compact), 49-26,53,26,15_8_3
1st,PAS,Giannina,26,11,1,1,30,8,7,3,3,24,13,58,,4-1-2-2-1 High pressing (compact), 54-21,58,26,18_4_4
2nd,PAS,Giannina,26,9,4,0,33,12,7,4,2,19,9,56,,4-1-2-2-1 High pressing (compact), 52-21,56,26,16_8_2
2nd,PAS,Giannina,26,10,1,2,31,12,7,2,4,19,11,54,,4-1-2-2-1 High pressing (compact), 50-23,54,26,17_3_6
1st,PAS,Giannina,26,11,2,0,36,13,5,4,4,24,21,54,,4-1-2-2-1 High pressing (compact), 60-34,54,26,16_6_4
1st,PAS,Giannina,26,10,3,0,30,9,6,4,3,26,22,55,,4-1-2-2-1 High pressing (compact), 56-31,55,26,16_7_3
2nd,PAS,Giannina,26,7,4,2,24,11,8,1,4,21,18,50,,4-1-2-2-1 High pressing (compact), 45-29,50,26,15_5_6
1st,PAS,Giannina,26,11,1,1,26,11,10,3,0,32,13,67,,4-1-2-2-1 High pressing (compact), 58-24,67,26,21_4_1
2nd,PAS,Giannina,26,11,0,2,31,11,9,2,2,30,17,62,,4-1-2-2-1 High pressing (compact), 61-28,62,26,20_2_4
1st,PAS,Giannina,26,10,2,1,33,14,6,3,4,19,10,53,,4-1-2-2-1 High pressing (compact), 52-24,53,26,16_5_5
2nd,PAS,Giannina,26,10,3,0,31,8,6,3,4,28,21,54,,4-1-2-2-1 High pressing (compact), 59-29,54,26,16_6_4
2nd,PAS,Giannina,26,10,2,1,33,16,8,1,4,24,15,57,,4-1-2-2-1 High pressing (compact), 57-31,57,26,18_3_5
1st,PAS,Giannina,26,10,3,0,32,7,8,2,3,19,11,59,,4-1-2-2-1 High pressing (compact), 51-18,59,26,18_5_3
3rd,PAS,Giannina,26,9,1,3,31,18,6,3,4,21,15,49,,4-1-2-2-1 High pressing (compact), 52-33,49,26,15_4_7
1st,PAS,Giannina,26,10,3,0,27,10,8,2,3,24,11,59,,4-1-2-2-1 High pressing (compact), 51-21,59,26,18_5_3
1st,PAS,Giannina,26,9,3,1,25,9,7,3,3,27,16,54,,4-1-2-2-1 High pressing (compact), 52-25,54,26,16_6_4
2nd,PAS,Giannina,26,9,1,3,27,12,6,4,3,22,15,50,,4-1-2-2-1 High pressing (compact), 49-27,50,26,15_5_6
