Pos,Team, ,Pld,Won,Drn,Lst,For,Ag,Won,Drn,Lst,For,Ag,Pts, ,tactic_name, scored-conceded, points, games, wins_draws_losses
2nd,PAS,Giannina,26,11,2,0,32,7,6,1,6,27,21,54,,4-1-2-2-1 High pressing (uppgraded), 59-28,54,26,17_3_6
1st,PAS,Giannina,26,10,1,2,37,15,7,2,4,25,14,54,,4-1-2-2-1 High pressing (uppgraded), 62-29,54,26,17_3_6
1st,PAS,Giannina,26,8,3,2,30,16,9,3,1,30,15,57,,4-1-2-2-1 High pressing (uppgraded), 60-31,57,26,17_6_3
1st,PAS,Giannina,26,8,5,0,28,10,7,2,4,19,13,52,,4-1-2-2-1 High pressing (uppgraded), 47-23,52,26,15_7_4
1st,PAS,Giannina,26,9,3,1,30,16,7,4,2,23,12,55,,4-1-2-2-1 High pressing (uppgraded), 53-28,55,26,16_7_3
1st,PAS,Giannina,26,11,2,0,31,11,10,2,1,33,12,67,,4-1-2-2-1 High pressing (uppgraded), 64-23,67,26,21_4_1
1st,PAS,Giannina,26,9,3,1,31,16,7,3,3,18,12,54,,4-1-2-2-1 High pressing (uppgraded), 49-28,54,26,16_6_4
1st,PAS,Giannina,26,11,1,1,30,11,8,1,4,26,15,59,,4-1-2-2-1 High pressing (uppgraded), 56-26,59,26,19_2_5
1st,PAS,Giannina,26,9,3,1,23,11,8,3,2,23,14,57,,4-1-2-2-1 High pressing (uppgraded), 46-25,57,26,17_6_3
1st,PAS,Giannina,26,11,2,0,32,9,9,2,2,24,13,64,,4-1-2-2-1 High pressing (uppgraded), 56-22,64,26,20_4_2
2nd,PAS,Giannina,26,10,2,1,35,11,8,3,2,27,11,59,,4-1-2-2-1 High pressing (uppgraded), 62-22,59,26,18_5_3
2nd,PAS,Giannina,26,8,2,3,31,15,7,3,3,23,17,50,,4-1-2-2-1 High pressing (uppgraded), 54-32,50,26,15_5_6
2nd,PAS,Giannina,26,8,5,0,34,12,5,6,2,19,15,50,,4-1-2-2-1 High pressing (uppgraded), 53-27,50,26,13_11_2
2nd,PAS,Giannina,26,11,2,0,33,10,7,3,3,20,12,59,,4-1-2-2-1 High pressing (uppgraded), 53-22,59,26,18_5_3
1st,PAS,Giannina,26,11,2,0,38,14,8,2,3,21,10,61,,4-1-2-2-1 High pressing (uppgraded), 59-24,61,26,19_4_3
1st,PAS,Giannina,26,8,3,2,32,18,7,5,1,27,13,53,,4-1-2-2-1 High pressing (uppgraded), 59-31,53,26,15_8_3
2nd,PAS,Giannina,26,10,2,1,22,7,6,5,2,18,10,55,,4-1-2-2-1 High pressing (uppgraded), 40-17,55,26,16_7_3
1st,PAS,Giannina,26,11,1,1,30,8,7,3,3,29,21,58,,4-1-2-2-1 High pressing (uppgraded), 59-29,58,26,18_4_4
1st,PAS,Giannina,26,12,1,0,34,13,8,3,2,27,13,64,,4-1-2-2-1 High pressing (uppgraded), 61-26,64,26,20_4_2
1st,PAS,Giannina,26,10,2,1,28,11,5,5,3,22,14,52,,4-1-2-2-1 High pressing (uppgraded), 50-25,52,26,15_7_4
1st,PAS,Giannina,26,11,2,0,33,8,7,4,2,30,21,60,,4-1-2-2-1 High pressing (uppgraded), 63-29,60,26,18_6_2
1st,PAS,Giannina,26,8,3,2,35,14,11,0,2,26,11,60,,4-1-2-2-1 High pressing (uppgraded), 61-25,60,26,19_3_4
1st,PAS,Giannina,26,8,2,3,27,12,9,2,2,28,16,55,,4-1-2-2-1 High pressing (uppgraded), 55-28,55,26,17_4_5
2nd,PAS,Giannina,26,10,2,1,39,16,6,4,3,21,11,54,,4-1-2-2-1 High pressing (uppgraded), 60-27,54,26,16_6_4
1st,PAS,Giannina,26,9,2,2,30,11,8,2,3,26,13,55,,4-1-2-2-1 High pressing (uppgraded), 56-24,55,26,17_4_5
1st,PAS,Giannina,26,9,2,2,28,16,6,3,4,15,12,50,,4-1-2-2-1 High pressing (uppgraded), 43-28,50,26,15_5_6
